warning: File "/lib/x86_64-linux-gnu/libthread_db-1.0.so" auto-loading has been declined by your `auto-load safe-path' set to "$debugdir:$datadir/auto-load".
warning: Unable to find libthread_db matching inferior's thread library, thread debugging will not be available.
======================= INFO =========================
This binary is built for AFL-fuzz.
To run the target function on individual input(s) execute this:
  /out/av1_dec_fuzzer < INPUT_FILE
or
  /out/av1_dec_fuzzer INPUT_FILE1 [INPUT_FILE2 ... ]
To fuzz with afl-fuzz execute this:
  afl-fuzz [afl-flags] /out/av1_dec_fuzzer [-N]
afl-fuzz will run N iterations before re-spawning the process (default: 1000)
======================================================
Warning: Read invalid frame size (1179208516)
Warning: Read invalid frame size (4184932419)
Warning: Read invalid frame size (4294967088)
Warning: Read invalid frame size (1348613689)
Warning: Read invalid frame size (855566187)
Warning: Read invalid frame size (3965806847)
Warning: Read invalid frame size (1953718630)
Warning: Read invalid frame size (1802240255)
Warning: Read invalid frame size (4194369534)
Warning: Read invalid frame size (353042303)
Warning: Read invalid frame size (335472491)
Warning: Read invalid frame size (4278321151)
Warning: Read invalid frame size (810959206)
Warning: Read invalid frame size (1953718630)
Warning: Read invalid frame size (1953718630)
Warning: Read invalid frame size (1802240255)
Warning: Read invalid frame size (4194369534)
Warning: Read invalid frame size (353042303)
Warning: Read invalid frame size (335472491)
Warning: Read invalid frame size (4278321151)
Warning: Read invalid frame size (810959206)
Warning: Read invalid frame size (1953718630)
Warning: Read invalid frame size (1953718630)
Warning: Read invalid frame size (1802240255)
Warning: Read invalid frame size (4194369534)
Warning: Read invalid frame size (353042303)
Warning: Read invalid frame size (335472491)
Warning: Read invalid frame size (4278321151)
Warning: Read invalid frame size (810959206)
Warning: Read invalid frame size (1953718630)
Warning: Read invalid frame size (1953718630)
Warning: Read invalid frame size (1802240255)
Warning: Read invalid frame size (4194369534)
Warning: Read invalid frame size (353042303)
Warning: Read invalid frame size (335472491)
Warning: Read invalid frame size (4278321151)
Warning: Read invalid frame size (810959206)
Warning: Read invalid frame size (1953718630)
Warning: Read invalid frame size (1953718630)
Warning: Read invalid frame size (1802240255)
